t,f_x,f_y,c_d,c_l
1.125019999999999953e+01,1.342982853306132984e+00,5.356930177224938916e-13,1.074386282644906387e+01,4.285544141779951133e-12
1.150660000000000061e+01,1.364948466448522968e+00,-1.239952585052606082e-12,1.091958773158818374e+01,-9.919620680420848657e-12
1.175590000000000046e+01,1.386242691452141962e+00,-1.932027454687457180e-12,1.108994153161713569e+01,-1.545621963749965744e-11
1.200520000000000032e+01,1.407479556101069340e+00,-6.187758638809270906e-15,1.125983644880855472e+01,-4.950206911047416725e-14
1.225450000000000017e+01,1.428661788411811351e+00,2.878452684540455664e-12,1.142929430729449081e+01,2.302762147632364531e-11
1.250389999999999979e+01,1.449791969082412812e+00,2.778006991110970603e-12,1.159833575265930250e+01,2.222405592888776482e-11
1.275319999999999965e+01,1.470872594856680537e+00,-1.622360232267361368e-12,1.176698075885344430e+01,-1.297888185813889095e-11
1.300249999999999950e+01,1.491906114607176814e+00,-5.708773731516458838e-12,1.193524891685741451e+01,-4.567018985213167070e-11
1.325189999999999912e+01,1.512894946866524704e+00,-3.081266145010808089e-12,1.210315957493219763e+01,-2.465012916008646471e-11
1.350120000000000076e+01,1.533841484968259117e+00,5.545224002201365465e-12,1.227073187974607293e+01,4.436179201761092372e-11
1.375060000000000038e+01,1.554748094215149257e+00,9.938846620705099610e-12,1.243798475372119405e+01,7.951077296564079688e-11
1.400709999999999944e+01,1.576212832040341683e+00,8.959655933837851194e-13,1.260970265632273346e+01,7.167724747070280955e-12
1.425639999999999930e+01,1.597045550853387397e+00,-1.387786760509435169e-11,1.277636440682709917e+01,-1.110229408407548135e-10
1.450580000000000069e+01,1.617845244473643085e+00,-1.472363723997727192e-11,1.294276195578914468e+01,-1.177890979198181753e-10
1.475520000000000032e+01,1.638614070970217718e+00,6.482359787840508147e-12,1.310891256776174174e+01,5.185887830272406518e-11
1.500459999999999994e+01,1.659354111798605258e+00,2.820283243054610978e-11,1.327483289438884206e+01,2.256226594443688782e-10
1.525389999999999979e+01,1.680067362560077049e+00,1.755993787877496715e-11,1.344053890048061639e+01,1.404795030301997372e-10
1.550329999999999941e+01,1.700755717371522868e+00,-2.508278654222984017e-11,1.360604573897218295e+01,-2.006622923378387213e-10
1.575270000000000081e+01,1.721420966786714857e+00,-5.039113917804094456e-11,1.377136773429371885e+01,-4.031291134243275565e-10
1.600209999999999866e+01,1.742064816747932232e+00,-1.128641971548383083e-11,1.393651853398345786e+01,-9.029135772387064662e-11
1.625150000000000006e+01,1.762688890530694774e+00,6.418796744123156373e-11,1.410151112424555819e+01,5.135037395298525098e-10
1.650090000000000146e+01,1.783294712226089596e+00,7.882046057505753822e-11,1.426635769780871676e+01,6.305636846004603058e-10
1.675029999999999930e+01,1.803883698092401344e+00,-1.949454486727120184e-11,1.443106958473921075e+01,-1.559563589381696147e-10
1.700679999999999836e+01,1.825044758336698880e+00,-1.380743713808030293e-10,1.460035806669359104e+01,-1.104594971046424234e-09
1.725619999999999976e+01,1.845603523893566633e+00,-9.858734661971624291e-11,1.476482819114853307e+01,-7.886987729577299433e-10
1.750560000000000116e+01,1.866149143761148599e+00,1.104354212244640365e-10,1.492919315008918879e+01,8.834833697957122922e-10
1.775499999999999901e+01,1.886682660442529302e+00,2.536018790799676736e-10,1.509346128354023442e+01,2.028815032639741389e-09
1.800440000000000040e+01,1.907205037058309793e+00,8.059093670187422731e-11,1.525764029646647835e+01,6.447274936149938185e-10
1.825379999999999825e+01,1.927717162058529166e+00,-2.998855885838480617e-10,1.542173729646823332e+01,-2.399084708670784494e-09
1.850319999999999965e+01,1.948219854043385713e+00,-4.099289900583169555e-10,1.558575883234708570e+01,-3.279431920466535644e-09
1.875260000000000105e+01,1.968713866536497825e+00,5.043275866367658011e-11,1.574971093229198260e+01,4.034620693094126409e-10
1.900199999999999889e+01,1.989199892634916811e+00,6.593641015129048100e-10,1.591359914107933449e+01,5.274912812103238480e-09
1.925140000000000029e+01,2.009678569491311961e+00,5.623393868614545710e-10,1.607742855593049569e+01,4.498715094891636568e-09
1.950080000000000169e+01,2.030150482595909356e+00,-4.384271660995420206e-10,1.624120386076727485e+01,-3.507417328796336164e-09
1.975019999999999953e+01,2.050616169831910085e+00,-1.261476194336363932e-09,1.640492935865528068e+01,-1.009180955469091145e-08
2.000669999999999860e+01,2.071660615819482576e+00,-5.217624249320707008e-10,1.657328492655586061e+01,-4.174099399456565607e-09
2.025619999999999976e+01,2.092115148831982907e+00,1.382093911539428177e-09,1.673692119065586326e+01,1.105675129231542542e-08
2.050560000000000116e+01,2.112564832228486456e+00,2.113530184200129725e-09,1.690051865782789164e+01,1.690824147360103780e-08
2.075499999999999901e+01,2.133010048137086390e+00,-1.466358978685633474e-11,1.706408038509669112e+01,-1.173087182948506779e-10
2.100440000000000040e+01,2.153451147726340942e+00,-3.161928406603120578e-09,1.722760918181072753e+01,-2.529542725282496463e-08
2.125379999999999825e+01,2.173888453796236853e+00,-3.035865728945319475e-09,1.739110763036989482e+01,-2.428692583156255580e-08
2.150319999999999965e+01,2.194322263156113451e+00,1.773185813458422189e-09,1.755457810524890760e+01,1.418548650766737751e-08
2.175260000000000105e+01,2.214752848808552610e+00,6.236072165599626516e-09,1.771802279046842088e+01,4.988857732479701212e-08
2.200199999999999889e+01,2.235180461934010321e+00,3.390153369836612640e-09,1.788144369547208257e+01,2.712122695869290112e-08
2.225140000000000029e+01,2.255605333714428173e+00,-6.008416139624550567e-09,1.804484266971542539e+01,-4.806732911699640454e-08
2.250080000000000169e+01,2.276027676997983029e+00,-1.085968562297701112e-08,1.820822141598386423e+01,-8.687748498381608897e-08
2.275029999999999930e+01,2.296447687802098514e+00,-1.554998015768083164e-09,1.837158150241678811e+01,-1.243998412614466531e-08
2.300679999999999836e+01,2.317448884175638657e+00,1.502473811684779115e-08,1.853959107340510926e+01,1.201979049347823292e-07
2.325619999999999976e+01,2.337864703184270088e+00,1.617415627125362576e-08,1.870291762547416070e+01,1.293932501700290061e-07
2.350560000000000116e+01,2.358278694280927734e+00,-6.731448190522293373e-09,1.886622955424742187e+01,-5.385158552417834699e-08
2.375499999999999901e+01,2.378690998556958203e+00,-3.059705965327563781e-08,1.902952798845566562e+01,-2.447764772262051025e-07
2.400440000000000040e+01,2.399101746104709942e+00,-1.956927885016224167e-08,1.919281396883767954e+01,-1.565542308012979333e-07
2.425390000000000157e+01,2.419511056908504099e+00,2.663677689529464487e-08,1.935608845526803279e+01,2.130942151623571590e-07
2.450329999999999941e+01,2.439919041675535638e+00,5.490572491800849164e-08,1.951935233340428510e+01,4.392457993440679331e-07
2.475270000000000081e+01,2.460325802505599402e+00,1.343993925179143289e-08,1.968260642004479521e+01,1.075195140143314632e-07
2.500209999999999866e+01,2.480731433635087413e+00,-6.876381444809176458e-08,1.984585146908069930e+01,-5.501105155847341166e-07
2.525150000000000006e+01,2.501136022038334072e+00,-8.652560209293502780e-08,2.000908817630667258e+01,-6.922048167434802224e-07
2.550090000000000146e+01,2.521539647921716032e+00,1.870771911688384748e-08,2.017231718337372826e+01,1.496617529350707798e-07
2.575029999999999930e+01,2.541942385395949966e+00,1.469444658730445497e-07,2.033553908316759973e+01,1.175555726984356397e-06
2.600690000000000168e+01,2.562927203329447234e+00,1.099850159697046692e-07,2.050341762663557788e+01,8.798801277576373536e-07
2.625629999999999953e+01,2.583328342996243698e+00,-1.154819811652330053e-07,2.066662674396994959e+01,-9.238558493218640422e-07
2.650570000000000093e+01,2.603728785602458906e+00,-2.754849960789895746e-07,2.082983028481967125e+01,-2.203879968631916597e-06
2.675509999999999877e+01,2.624128584697490219e+00,-9.450187405529719697e-08,2.099302867757992175e+01,-7.560149924423775758e-07
2.700450000000000017e+01,2.644527789812594509e+00,3.188231771852900742e-07,2.115622231850075607e+01,2.550585417482320594e-06
2.725400000000000134e+01,2.664926446777158731e+00,4.491174163748223869e-07,2.131941157421726984e+01,3.592939330998579095e-06
2.750339999999999918e+01,2.685324597566693505e+00,-4.034249675988199613e-08,2.148259678053354804e+01,-3.227399740790559690e-07
2.775280000000000058e+01,2.705722281318409639e+00,-7.078136158439329861e-07,2.164577825054727711e+01,-5.662508926751463889e-06
