t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
2.700450000000000017e+01,1.293970712239592424e-01,1.393864320837362968e-02,-7.686931616383214987e+02,2.644527789812594509e+00,3.188231771852900742e-07,2.115622231850075607e+01,2.550585417482320594e-06
2.725400000000000134e+01,1.293957895096555788e-01,1.393858314127323882e-02,-7.753926891445125875e+02,2.664926446777158731e+00,4.491174163748223869e-07,2.131941157421726984e+01,3.592939330998579095e-06
2.750339999999999918e+01,1.293945872158784594e-01,1.393829398135133270e-02,-7.820921798472966202e+02,2.685324597566693505e+00,-4.034249675988199613e-08,2.148259678053354804e+01,-3.227399740790559690e-07
2.775280000000000058e+01,1.293936932852323973e-01,1.393802590987015116e-02,-7.887916413708055643e+02,2.705722281318409639e+00,-7.078136158439329861e-07,2.164577825054727711e+01,-5.662508926751463889e-06
2.800219999999999843e+01,1.293931068475455415e-01,1.393812889004903549e-02,-7.954910825931785894e+02,2.726119533994895150e+00,-6.245873723012551615e-07,2.180895627195916120e+01,-4.996698978410041292e-06
2.825159999999999982e+01,1.293924766131826776e-01,1.393855991780231993e-02,-8.021905042169888702e+02,2.746516388486084814e+00,4.498585155568446403e-07,2.197213110788867851e+01,3.598868124454757123e-06
2.850100000000000122e+01,1.293914495803524523e-01,1.393876350892963786e-02,-8.088898971276399834e+02,2.766912875904344205e+00,1.365230032232545021e-06,2.213530300723475364e+01,1.092184025786036017e-05
2.875039999999999907e+01,1.293902081967859552e-01,1.393826592049542644e-02,-8.155892545526573940e+02,2.787309024160136151e+00,6.506943270034870608e-07,2.229847219328108920e+01,5.205554616027896486e-06
2.900700000000000145e+01,1.293894310676875770e-01,1.393740577651731045e-02,-8.224799954674897435e+02,2.808287593036122853e+00,-1.459945271731211136e-06,2.246630074428898283e+01,-1.167956217384968909e-05
2.925639999999999930e+01,1.293895409380461936e-01,1.393732444782136252e-02,-8.291793237406297976e+02,2.828683131831115194e+00,-2.309830175614702164e-06,2.262946505464892155e+01,-1.847864140491761731e-05
2.950580000000000069e+01,1.293898309865337826e-01,1.393844752759297589e-02,-8.358786577625867267e+02,2.849078404022884481e+00,-6.028902238552902304e-08,2.279262723218307585e+01,-4.823121790842321843e-07
2.975519999999999854e+01,1.293890835859375921e-01,1.393960735310507612e-02,-8.425779747261271950e+02,2.869473430814367010e+00,3.381272236993582148e-06,2.295578744651493608e+01,2.705017789594865718e-05
3.000459999999999994e+01,1.293871347626336932e-01,1.393903170540008313e-02,-8.492772421844521205e+02,2.889868231440520852e+00,3.360508265937145467e-06,2.311894585152416681e+01,2.688406612749716373e-05
3.025410000000000110e+01,1.293856400336084733e-01,1.393670291974095053e-02,-8.559764639623555240e+02,2.910262821645023923e+00,-1.784427189489845578e-06,2.328210257316019138e+01,-1.427541751591876462e-05
3.050349999999999895e+01,1.293864089008817664e-01,1.393527387605797245e-02,-8.626756942248371161e+02,2.930657219772205835e+00,-6.730250282922789484e-06,2.344525775817764668e+01,-5.384200226338231587e-05
3.075290000000000035e+01,1.293887659116379485e-01,1.393734709330260099e-02,-8.693749815559019680e+02,2.951051439368676199e+00,-3.853052298302683809e-06,2.360841151494940959e+01,-3.082441838642147047e-05
3.100230000000000175e+01,1.293893328774554374e-01,1.394142543959819673e-02,-8.760742927135731861e+02,2.971445492848552750e+00,6.294939823750511643e-06,2.377156394278842200e+01,5.035951859000409314e-05
3.125169999999999959e+01,1.293858236327218858e-01,1.394227664946012281e-02,-8.827735259372988139e+02,2.991839396790290984e+00,1.182678507982010130e-05,2.393471517432232787e+01,9.461428063856081039e-05
3.150110000000000099e+01,1.293811284580218546e-01,1.393701126196638176e-02,-8.894726328255676435e+02,3.012233158123881260e+00,2.066421324921352554e-06,2.409786526499105008e+01,1.653137059937082043e-05
3.175049999999999883e+01,1.293813505631738192e-01,1.393058557861861189e-02,-8.961717184040264783e+02,3.032626789316462013e+00,-1.561241239478317056e-05,2.426101431453169610e+01,-1.248992991582653644e-04
3.200710000000000122e+01,1.293883677551218581e-01,1.393246348471677103e-02,-9.030623699181219308e+02,3.053602974365556388e+00,-1.784169118689005185e-05,2.442882379492445111e+01,-1.427335294951204148e-04
3.225650000000000261e+01,1.293940811227094201e-01,1.394372590204510758e-02,-9.097617825419918063e+02,3.073996369700787490e+00,6.581649967099534315e-06,2.459197095760629992e+01,5.265319973679627452e-05
3.250589999999999691e+01,1.293889305323464023e-01,1.395162987074054749e-02,-9.164611057878273641e+02,3.094389666414717688e+00,3.293465043877064069e-05,2.475511733131774150e+01,2.634772035101651255e-04
3.275529999999999831e+01,1.293751631060304497e-01,1.394258394791649501e-02,-9.231600882573142144e+02,3.114782870510371282e+00,2.205774110070057858e-05,2.491826296408297026e+01,1.764619288056046287e-04
3.300469999999999970e+01,1.293692722298178943e-01,1.392191541298296378e-02,-9.298588609258958968e+02,3.135175977493378952e+00,-2.770599158799513795e-05,2.508140781994703161e+01,-2.216479327039611036e-04
3.325419999999999732e+01,1.293837128224070154e-01,1.391544585788820343e-02,-9.365579316923533497e+02,3.155569013993646976e+00,-5.964696018179865833e-05,2.524455211194917581e+01,-4.771756814543892666e-04
3.350359999999999872e+01,1.294063612824561948e-01,1.394002090736602174e-02,-9.432575954399620741e+02,3.175961971017584595e+00,-1.644132967265621303e-05,2.540769576814067676e+01,-1.315306373812497043e-04
3.375300000000000011e+01,1.294065190772797080e-01,1.397317864867312319e-02,-9.499573757324168355e+02,3.196354844927226768e+00,7.291594860282801793e-05,2.557083875941781415e+01,5.833275888226241435e-04
3.400240000000000151e+01,1.293726741468499419e-01,1.396891173711918913e-02,-9.566563860093081075e+02,3.216747676221614505e+00,9.501717399938020003e-05,2.573398140977291604e+01,7.601373919950416003e-04
3.425180000000000291e+01,1.293398219459702403e-01,1.391526904898045605e-02,-9.633544657855587730e+02,3.237140427000217535e+00,-1.666516860573952208e-05,2.589712341600174028e+01,-1.333213488459161766e-04
3.450119999999999720e+01,1.293580715605099907e-01,1.386949986322137847e-02,-9.700527823749461049e+02,3.257533103812997766e+00,-1.576106196645998825e-04,2.606026483050398213e+01,-1.260884957316799060e-03
3.475059999999999860e+01,1.294246539602364188e-01,1.390560566807035915e-02,-9.767527198398079236e+02,3.277925775526711050e+00,-1.276493068993536650e-04,2.622340620421368840e+01,-1.021194455194829320e-03
3.500000000000000000e+01,1.294621372942596493e-01,1.400807149183821987e-02,-9.834538508310906764e+02,3.298318329545954608e+00,1.112151801892710679e-04,2.638654663636763686e+01,8.897214415141685429e-04
