t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
1.025409999999999933e+01,nan,nan,nan,2.577416280415434913e-01,2.945497821328607710e-04,2.061933024332347930e+00,2.356398257062886168e-03
1.050270000000000081e+01,nan,nan,nan,2.577417836134315854e-01,2.804803783375457520e-04,2.061934268907452683e+00,2.243843026700366016e-03
1.075120000000000076e+01,nan,nan,nan,2.577419831240329584e-01,2.469123161326165143e-04,2.061935864992263667e+00,1.975298529060932114e-03
1.100590000000000046e+01,nan,nan,nan,2.577421834983525950e-01,2.092351236182939849e-04,2.061937467986820760e+00,1.673880988946351879e-03
1.125440000000000040e+01,nan,nan,nan,2.577423162938496937e-01,1.879925330992046173e-04,2.061938530350797549e+00,1.503940264793636938e-03
1.150290000000000035e+01,nan,nan,nan,2.577423468993344513e-01,1.933963373494796258e-04,2.061938775194675610e+00,1.547170698795837006e-03
1.175140000000000029e+01,nan,nan,nan,2.577422773119102395e-01,2.236491239178088749e-04,2.061938218495281916e+00,1.789192991342470999e-03
1.200609999999999999e+01,nan,nan,nan,2.577421549460217065e-01,2.654204118324771274e-04,2.061937239568173652e+00,2.123363294659817019e-03
1.225459999999999994e+01,nan,nan,nan,2.577420632473892415e-01,2.961760254709662563e-04,2.061936505979113932e+00,2.369408203767730051e-03
1.250319999999999965e+01,nan,nan,nan,2.577420586832120941e-01,3.011071029472232310e-04,2.061936469465696753e+00,2.408856823577785848e-03
1.275169999999999959e+01,nan,nan,nan,2.577421530154524465e-01,2.768312374110944250e-04,2.061937224123619572e+00,2.214649899288755400e-03
1.300019999999999953e+01,nan,nan,nan,2.577423088145791574e-01,2.344946437554972006e-04,2.061938470516633259e+00,1.875957150043977605e-03
1.325489999999999924e+01,nan,nan,nan,2.577424623305117901e-01,1.939156395395236503e-04,2.061939698644094321e+00,1.551325116316189202e-03
1.350339999999999918e+01,nan,nan,nan,2.577425364856741896e-01,1.774316192419992874e-04,2.061940291885393517e+00,1.419452953935994299e-03
1.375189999999999912e+01,nan,nan,nan,2.577424970114108871e-01,1.929924044025581374e-04,2.061939976091287097e+00,1.543939235220465099e-03
1.400040000000000084e+01,nan,nan,nan,2.577423600078283528e-01,2.339238087617255622e-04,2.061938880062626822e+00,1.871390470093804497e-03
1.425520000000000032e+01,nan,nan,nan,2.577421916858566586e-01,2.816281468441652128e-04,2.061937533486853269e+00,2.253025174753321702e-03
1.450370000000000026e+01,nan,nan,nan,2.577420893128199442e-01,3.101497909126369932e-04,2.061936714502559553e+00,2.481198327301095945e-03
1.475220000000000020e+01,nan,nan,nan,2.577421027577960211e-01,3.057436828089738347e-04,2.061936822062368169e+00,2.445949462471790677e-03
1.500070000000000014e+01,nan,nan,nan,2.577422264329327639e-01,2.694589761245450520e-04,2.061937811463462111e+00,2.155671808996360416e-03
1.525549999999999962e+01,nan,nan,nan,2.577424077989092788e-01,2.171203960250799253e-04,2.061939262391274230e+00,1.736963168200639403e-03
1.550399999999999956e+01,nan,nan,nan,2.577425549273590910e-01,1.768963520712319316e-04,2.061940439418872728e+00,1.415170816569855453e-03
1.575249999999999950e+01,nan,nan,nan,2.577425988168174920e-01,1.681435203835581773e-04,2.061940790534539936e+00,1.345148163068465418e-03
1.600100000000000122e+01,nan,nan,nan,2.577425096978272490e-01,1.963576202892823445e-04,2.061940077582617992e+00,1.570860962314258756e-03
1.625570000000000093e+01,nan,nan,nan,2.577423205085319080e-01,2.501065062638233374e-04,2.061938564068255264e+00,2.000852050110586700e-03
1.650420000000000087e+01,nan,nan,nan,2.577421364069954479e-01,3.007872867825179316e-04,2.061937091255963583e+00,2.406298294260143453e-03
1.675270000000000081e+01,nan,nan,nan,2.577420500154277705e-01,3.240146859089750898e-04,2.061936400123422164e+00,2.592117487271800719e-03
1.700130000000000052e+01,nan,nan,nan,2.577421046259997794e-01,3.071692601034518378e-04,2.061936837007998236e+00,2.457354080827614702e-03
1.725600000000000023e+01,nan,nan,nan,2.577422780708676919e-01,2.558019859468761161e-04,2.061938224566941535e+00,2.046415887575008929e-03
1.750450000000000017e+01,nan,nan,nan,2.577424822362870960e-01,1.968967374630390202e-04,2.061939857890296768e+00,1.575173899704312161e-03
1.775300000000000011e+01,nan,nan,nan,2.577426251933350176e-01,1.587773939942539714e-04,2.061941001546680141e+00,1.270219151954031771e-03
1.800150000000000006e+01,nan,nan,nan,2.577426319658914222e-01,1.612856111292657621e-04,2.061941055727131378e+00,1.290284889034126097e-03
1.825619999999999976e+01,nan,nan,nan,2.577424825337108483e-01,2.060597435118486059e-04,2.061939860269686786e+00,1.648477948094788847e-03
1.850469999999999970e+01,nan,nan,nan,2.577422530752160879e-01,2.700236385987613138e-04,2.061938024601728703e+00,2.160189108790090511e-03
1.875319999999999965e+01,nan,nan,nan,2.577420612285383772e-01,3.224329542361318896e-04,2.061936489828307018e+00,2.579463633889055117e-03
1.900179999999999936e+01,nan,nan,nan,2.577420140277527638e-01,3.365922315138400868e-04,2.061936112222022111e+00,2.692737852110720694e-03
1.925029999999999930e+01,nan,nan,nan,2.577421203926421045e-01,3.040498857565327112e-04,2.061936963141136836e+00,2.432399086052261690e-03
1.950499999999999901e+01,nan,nan,nan,2.577423384227778835e-01,2.377136305387107546e-04,2.061938707382223068e+00,1.901709044309686037e-03
1.975359999999999872e+01,nan,nan,nan,2.577425662349754343e-01,1.728127126327313340e-04,2.061940529879803474e+00,1.382501701061850672e-03
2.000199999999999889e+01,nan,nan,nan,2.577426947639526178e-01,1.405611944511325892e-04,2.061941558111620942e+00,1.124489555609060713e-03
2.025049999999999883e+01,nan,nan,nan,2.577426509031756630e-01,1.582750767315736079e-04,2.061941207225405304e+00,1.266200613852588863e-03
2.050519999999999854e+01,nan,nan,nan,2.577424358065678045e-01,2.206805853112342485e-04,2.061939486452542436e+00,1.765444682489873988e-03
2.075379999999999825e+01,nan,nan,nan,2.577421652627664983e-01,2.951086493577923442e-04,2.061937322102131986e+00,2.360869194862338753e-03
2.100230000000000175e+01,nan,nan,nan,2.577420240471309798e-01,3.457704684486184016e-04,2.061936192377047838e+00,2.766163747588947213e-03
2.125080000000000169e+01,nan,nan,nan,2.577420452017971653e-01,3.464147171977578006e-04,2.061936361614377322e+00,2.771317737582062405e-03
2.150560000000000116e+01,nan,nan,nan,2.577421783101561670e-01,2.931631956496740183e-04,2.061937426481249336e+00,2.345305565197392146e-03
2.175410000000000110e+01,nan,nan,nan,2.577424099016748515e-01,2.133488242840385178e-04,2.061939279213398812e+00,1.706790594272308142e-03
2.200260000000000105e+01,nan,nan,nan,2.577426579832410303e-01,1.453369016631438668e-04,2.061941263865928242e+00,1.162695213305150934e-03
2.225110000000000099e+01,nan,nan,nan,2.577427614808197598e-01,1.236384877477998559e-04,2.061942091846558078e+00,9.891079019823988475e-04
2.250580000000000069e+01,nan,nan,nan,2.577426471517883511e-01,1.623560998174212848e-04,2.061941177214306808e+00,1.298848798539370278e-03
2.275430000000000064e+01,nan,nan,nan,2.577423637118734789e-01,2.423873342860041464e-04,2.061938909694987832e+00,1.939098674288033172e-03
2.300280000000000058e+01,nan,nan,nan,2.577420590426081626e-01,3.252920328319448199e-04,2.061936472340865301e+00,2.602336262655558560e-03
2.325130000000000052e+01,nan,nan,nan,2.577420165208310632e-01,3.695899787292891031e-04,2.061936132166648505e+00,2.956719829834312824e-03
2.350609999999999999e+01,nan,nan,nan,2.577421107816857404e-01,3.504477522103809930e-04,2.061936886253485923e+00,2.803582017683047944e-03
2.375459999999999994e+01,nan,nan,nan,2.577422363514205172e-01,2.761210766561647003e-04,2.061937890811364138e+00,2.208968613249317602e-03
2.400309999999999988e+01,nan,nan,nan,2.577424999589219001e-01,1.823122014829612952e-04,2.061939999671375201e+00,1.458497611863690362e-03
2.425159999999999982e+01,nan,nan,nan,2.577427613264404171e-01,1.153752029787948904e-04,2.061942090611523337e+00,9.230016238303591228e-04
2.450009999999999977e+01,nan,nan,nan,2.577428223748849945e-01,1.098073262053971677e-04,2.061942578999079956e+00,8.784586096431773418e-04
2.475479999999999947e+01,nan,nan,nan,2.577426221621020308e-01,1.727446255958957908e-04,2.061940977296816246e+00,1.381957004767166326e-03
2.500329999999999941e+01,nan,nan,nan,2.577422620795251085e-01,2.720803001961736483e-04,2.061938096636200868e+00,2.176642401569389186e-03
2.525179999999999936e+01,nan,nan,nan,2.577420321020515437e-01,3.600810656953755146e-04,2.061936256816412349e+00,2.880648525563004117e-03
2.550029999999999930e+01,nan,nan,nan,2.577420807120962554e-01,3.922050485926912482e-04,2.061936645696770043e+00,3.137640388741529986e-03
2.575509999999999877e+01,nan,nan,nan,2.577421700545796668e-01,3.484657976234410422e-04,2.061937360436637334e+00,2.787726380987528337e-03
2.600359999999999872e+01,nan,nan,nan,2.577423010040810758e-01,2.501827428006728020e-04,2.061938408032648606e+00,2.001461942405382416e-03
2.625209999999999866e+01,nan,nan,nan,2.577426135645737859e-01,1.445850351493353184e-04,2.061940908516590287e+00,1.156680281194682547e-03
2.650059999999999860e+01,nan,nan,nan,2.577428756236456175e-01,8.435770407722143036e-05,2.061943004989164940e+00,6.748616326177714429e-04
2.675529999999999831e+01,nan,nan,nan,2.577428663455979541e-01,1.027278137021652257e-04,2.061942930764783632e+00,8.218225096173218053e-04
2.700369999999999848e+01,nan,nan,nan,2.577425643493050922e-01,1.924086358469530300e-04,2.061940514794440737e+00,1.539269086775624240e-03
2.725230000000000175e+01,nan,nan,nan,2.577421282705892880e-01,3.103658315023750925e-04,2.061937026164714304e+00,2.482926652019000740e-03
2.750080000000000169e+01,nan,nan,nan,2.577420108422927569e-01,3.984429086789898996e-04,2.061936086738342055e+00,3.187543269431919197e-03
2.775550000000000139e+01,nan,nan,nan,2.577421887904410291e-01,4.105993716101382133e-04,2.061937510323528233e+00,3.284794972881105706e-03
2.800400000000000134e+01,nan,nan,nan,2.577422087480762403e-01,3.374622141802701607e-04,2.061937669984609922e+00,2.699697713442161286e-03
2.825260000000000105e+01,nan,nan,nan,2.577423831566663104e-01,2.141165243060922838e-04,2.061939065253330483e+00,1.712932194448738270e-03
2.850110000000000099e+01,nan,nan,nan,2.577427543853734182e-01,1.006623510373452215e-04,2.061942035082987346e+00,8.052988082987617719e-04
2.875570000000000093e+01,nan,nan,nan,2.577429987410030376e-01,5.433260974041308173e-05,2.061943989928024301e+00,4.346608779233046538e-04
2.900420000000000087e+01,nan,nan,nan,2.577428888266937168e-01,1.029318960843215932e-04,2.061943110613549734e+00,8.234551686745727453e-04
2.925270000000000081e+01,nan,nan,nan,2.577424653428133094e-01,2.232091227561079150e-04,2.061939722742506476e+00,1.785672982048863320e-03
2.950120000000000076e+01,nan,nan,nan,2.577420552025586620e-01,3.574025769236186781e-04,2.061936441620469296e+00,2.859220615388949425e-03
2.975600000000000023e+01,nan,nan,nan,2.577420849974296213e-01,4.395926708410786391e-04,2.061936679979436970e+00,3.516741366728629112e-03
3.000450000000000017e+01,nan,nan,nan,2.577423015383801252e-01,4.228037768249241269e-04,2.061938412307041002e+00,3.382430214599393015e-03
3.025300000000000011e+01,nan,nan,nan,2.577422812694820098e-01,3.149955263813487079e-04,2.061938250155856078e+00,2.519964211050789663e-03
3.050150000000000006e+01,nan,nan,nan,2.577424956631233499e-01,1.670300168170164260e-04,2.061939965304986799e+00,1.336240134536131408e-03
3.075619999999999976e+01,nan,nan,nan,2.577429332790351912e-01,4.981824013759232291e-05,2.061943466232281530e+00,3.985459211007385833e-04
3.100469999999999970e+01,nan,nan,nan,2.577431168624405022e-01,2.877202349934529022e-05,2.061944934899524018e+00,2.301761879947623218e-04
3.125309999999999988e+01,nan,nan,nan,2.577428758238706763e-01,1.141078214790380022e-04,2.061943006590965410e+00,9.128625718323040176e-04
3.150159999999999982e+01,nan,nan,nan,2.577423174694029040e-01,2.668190376023934834e-04,2.061938539755223232e+00,2.134552300819147867e-03
3.175009999999999977e+01,nan,nan,nan,2.577420154114573037e-01,4.127235700302222285e-04,2.061936123291658429e+00,3.301788560241777828e-03
3.200489999999999924e+01,nan,nan,nan,2.577422267697891956e-01,4.785860535376818578e-04,2.061937814158313564e+00,3.828688428301454862e-03
3.225339999999999918e+01,nan,nan,nan,2.577424035949216208e-01,4.254123407745877055e-04,2.061939228759372966e+00,3.403298726196701644e-03
3.250189999999999912e+01,nan,nan,nan,2.577423921767681425e-01,2.786283583288694005e-04,2.061939137414145140e+00,2.229026866630955204e-03
3.275039999999999907e+01,nan,nan,nan,2.577426508542089434e-01,1.085608002328060357e-04,2.061941206833671547e+00,8.684864018624482854e-04
3.300509999999999877e+01,nan,nan,nan,2.577431296767821456e-01,-1.683529278153347020e-06,2.061945037414257165e+00,-1.346823422522677616e-05
3.325350000000000250e+01,nan,nan,nan,2.577432224215776002e-01,1.049923445001196140e-05,2.061945779372620802e+00,8.399387560009569120e-05
3.350200000000000244e+01,nan,nan,nan,2.577428131384887910e-01,1.393900424024018263e-04,2.061942505107910328e+00,1.115120339219214610e-03
3.375050000000000239e+01,nan,nan,nan,2.577421150898910329e-01,3.245264114997108824e-04,2.061936920719128263e+00,2.596211291997687059e-03
3.400520000000000209e+01,nan,nan,nan,2.577420426010039178e-01,4.776247390910269390e-04,2.061936340808031343e+00,3.820997912728215512e-03
3.425370000000000203e+01,nan,nan,nan,2.577424075452579566e-01,5.134781240260942372e-04,2.061939260362063653e+00,4.107824992208753898e-03
3.450220000000000198e+01,nan,nan,nan,2.577424803943849096e-01,4.147269858519396068e-04,2.061939843155079277e+00,3.317815886815516854e-03
3.475070000000000192e+01,nan,nan,nan,2.577424609029966285e-01,2.261169608016402356e-04,2.061939687223973028e+00,1.808935686413121885e-03
3.500540000000000163e+01,nan,nan,nan,2.577428734581760916e-01,3.530892319651417769e-05,2.061942987665408733e+00,2.824713855721134215e-04
3.525390000000000157e+01,nan,nan,nan,2.577433473710595280e-01,-5.305456231942146540e-05,2.061946778968476224e+00,-4.244364985553717232e-04
3.550229999999999819e+01,nan,nan,nan,2.577433001883457364e-01,3.579028799499627385e-06,2.061946401506765891e+00,2.863223039599701908e-05
3.575079999999999814e+01,nan,nan,nan,2.577426854056595329e-01,1.819567976992774187e-04,2.061941483245276263e+00,1.455654381594219350e-03
3.600549999999999784e+01,nan,nan,nan,2.577420887701125096e-01,4.018966721339171564e-04,2.061936710160900077e+00,3.215173377071337251e-03
3.625399999999999778e+01,nan,nan,nan,2.577421905813557790e-01,5.440868614229127593e-04,2.061937524650846232e+00,4.352694891383302074e-03
3.650249999999999773e+01,nan,nan,nan,2.577426037432084538e-01,5.400843943288525855e-04,2.061940829945667630e+00,4.320675154630820684e-03
3.675099999999999767e+01,nan,nan,nan,2.577425182420753358e-01,3.867413705906277001e-04,2.061940145936602686e+00,3.093930964725021601e-03
3.700580000000000069e+01,nan,nan,nan,2.577425638950026632e-01,1.498379022985468008e-04,2.061940511160021305e+00,1.198703218388374406e-03
3.725419999999999732e+01,nan,nan,nan,2.577431417184517515e-01,-4.348448750994373578e-05,2.061945133747614012e+00,-3.478759000795498863e-04
3.750269999999999726e+01,nan,nan,nan,2.577435767414369416e-01,-1.002895936210466884e-04,2.061948613931495533e+00,-8.023167489683735070e-04
3.775110000000000099e+01,nan,nan,nan,2.577433303202054660e-01,1.266350268497708465e-05,2.061946642561643728e+00,1.013080214798166772e-04
3.800580000000000069e+01,nan,nan,nan,2.577424524764130309e-01,2.512318052424553777e-04,2.061939619811304247e+00,2.009854441939643022e-03
3.825430000000000064e+01,nan,nan,nan,2.577420160219576206e-01,4.889592679748309837e-04,2.061936128175660965e+00,3.911674143798647869e-03
3.850280000000000058e+01,nan,nan,nan,2.577424315919663034e-01,6.114767252633362699e-04,2.061939452735730427e+00,4.891813802106690159e-03
3.875130000000000052e+01,nan,nan,nan,2.577427949505335936e-01,5.533586121223425022e-04,2.061942359604268749e+00,4.426868896978740017e-03
3.900600000000000023e+01,nan,nan,nan,2.577424863851449088e-01,3.306835216066639671e-04,2.061939891081159271e+00,2.645468172853311737e-03
3.925450000000000017e+01,nan,nan,nan,2.577427393756456797e-01,5.984265299453616342e-05,2.061941915005165438e+00,4.787412239562893073e-04
3.950289999999999679e+01,nan,nan,nan,2.577434697346430714e-01,-1.289451887595401906e-04,2.061947757877144571e+00,-1.031561510076321525e-03
3.975130000000000052e+01,nan,nan,nan,2.577438030774685251e-01,-1.382732048514889170e-04,2.061950424619748201e+00,-1.106185638811911336e-03
4.000600000000000023e+01,nan,nan,nan,2.577432654680809065e-01,4.925340201876909533e-05,2.061946123744647252e+00,3.940272161501527626e-04
